Symbol,Name,Exchange,Sector,Market Cap
CTAQ,Carney Technology Acquisition Corp II Cl A,NASDAQ,Business Services,514691000
HTPA,Highland Transcend Partners I Corp Cl A,NYSE,Retail-Wholesale,376875000
SFR,Appreciate Holdings Inc,NASDAQ,Finance,4765636000
PTIC,Proptech Investment Corp II Cl A,NASDAQ,Finance,308487000
NSTB,Northern Star Investment Corp II Cl A,NYSE,Business Services,400800000
ERIE,Erie Indemnity Company,NASDAQ,Finance,13043595000
PACX,Pioneer Merger Corp Cl A,NASDAQ,Business Services,506139000
LGV,Longview Acquisition Corp II Cl A,NYSE,Medical,865950000
CND,Concord Acquisition Corp Cl A,NYSE,Finance,357455000
ELF,E.L.F. Beauty Inc,NYSE,Consumer Staples,2909472000
GPC,Genuine Parts Company,NYSE,Auto-Tires-Trucks,25879044000
LANC,Lancaster Colony Cor,NASDAQ,Consumer Staples,5707326000
CPRX,Catalyst Pharm Inc,NASDAQ,Medical,1745271000
ORLY,O'Reilly Automotive,NASDAQ,Retail-Wholesale,54099456000
IPVA,Interprivate II Acquisition Corp Cl A,NYSE,Business Services,326742000
TWND,Tailwind Acquisition Corp Cl A,NYSE Arca,Computers and Technology,424454000
PCVX,Vaxcyte Inc,NASDAQ,Medical,3637819000
INSW,International Seaways Inc,NYSE,Transportation,2114280000
GMAB,Genmab A/S ADR,NASDAQ,Medical,30657080000
PWSC,Powerschool Holdings Inc Cl A,NYSE,Consumer Discretionary,4070203000
PI,Impinj Inc,NASDAQ,Computers and Technology,3305459000
RXDX,Prometheus Biosciences Inc,NASDAQ,Medical,1724236000
DHT,Dht Holdings,NYSE,Transportation,1730184000
EME,Emcor Group,NYSE,Construction,7381758000
FSLR,First Solar Inc,NASDAQ,Oils-Energy,18392734000
TWNK,Hostess Brands Inc,NASDAQ,Consumer Staples,3534617000
EXTR,Extreme Networks,NASDAQ,Computers and Technology,2754305000
FSS,Federal Signal Corp,NYSE,Conglomerates,2946352000
FCBC,First Community Bksh,NASDAQ,Finance,606423000
ASC,Ardmore Shipping Corp,NYSE,Transportation,602959000
AMLX,Amylyx Pharmaceuticals Inc,NASDAQ,Medical,2542242000
NAT,Nordic American Tanker Shipping Ltd,NYSE,Transportation,700322000
SGML,Sigma Lithium Corp,NASDAQ,Computers and Technology,3550084000
GL,Globe Life Inc,NYSE,Finance,11668508000
SCLE,Broadscale Acquisition Corp Cl A,NASDAQ,Computers and Technology,433572000
ADEX,Adit Edtech Acquisition Corp,NYSE,Medical,346035000
UCBI,United Comm Banks,NASDAQ,Finance,4137445000
IMCR,Immunocore Holdings Plc ADR,NASDAQ,Medical,2762007000
CI,Cigna Corp,NYSE,Finance,1.00555E+11
DYN,Dyne Therapeutics Inc,NASDAQ,Medical,609886000
TRMK,Trustmark Corp,NASDAQ,Finance,2229697000
CECO,Ceco Environmental Corp,NASDAQ,Industrial Products,415352000
CLFD,Clearfield Inc,NASDAQ,Computers and Technology,1818724000
BTRS,Btrs Holdings Inc,NASDAQ,Business Services,1559880000
MOD,Modine Manufacturing Company,NYSE,Auto-Tires-Trucks,1102936000
FGEN,Fibrogen Inc CS,NASDAQ,Medical,1350176000
TR,Tootsie Roll Industries,NYSE,Consumer Staples,3097775000
STNG,Scorpio Tankers Inc,NYSE,Transportation,2978037000
GIS,General Mills,NYSE,Consumer Staples,50628624000
NBTB,NBT Bancorp Inc,NASDAQ,Finance,1977494000
IRDM,Iridium Comm Inc,NASDAQ,Computers and Technology,6671643000
IMVT,Immunovant Inc,NASDAQ,Medical,1693576000
EWTX,Edgewise Therapeutics Inc,NASDAQ,Medical,565765000
CAH,Cardinal Health,NYSE,Medical,21015282000
CCRN,Cross Ctry Hlthcr,NASDAQ,Business Services,1334415000
AJG,Arthur J. Gallagher & Company,NYSE,Finance,41980352000
SBUX,Starbucks Corp,NASDAQ,Retail-Wholesale,1.17305E+11
BELFB,Bel Fuse Inc Cl B,NASDAQ,Computers and Technology,429811000
SRPT,Sarepta Therapeutics,NASDAQ,Medical,10780629000
GOSS,Gossamer Bio Inc,NASDAQ,Medical,808723000
ISEE,Iveric Bio Inc,NASDAQ,Medical,2851477000
EBF,Ennis Inc,NYSE,Industrial Products,600170000
UNM,Unumprovident Corp,NYSE,Finance,8391331000
GEF.B,Greif Bros. Corp Cl B,NYSE,Industrial Products,3577715000
YPF,Ypf Sociedad Anonima ADR,NYSE,Oils-Energy,3299896000
HAE,Haemonetics Corp,NYSE,Medical,4317369000
VMI,Valmont Industries,NYSE,Basic Materials,7224634000
RICK,RCI Hospitality Hold,NASDAQ,Consumer Discretionary,845603000
GTY,Getty Realty Corp,NYSE,Finance,1543157000
IBOC,Intl Bancshares,NASDAQ,Finance,3272165000
BDC,Belden Inc,NYSE,Industrial Products,3443314000
DECK,Deckers Outdoor Corp,NYSE,Consumer Staples,10557152000
AXON,Axon Enterprise Inc,NASDAQ,Industrial Products,13096495000
FN,Fabrinet,NYSE,Computers and Technology,4881072000
MCK,Mckesson Corp,NYSE,Medical,54119544000
LPLA,Lpl Financial Holdings,NASDAQ,Finance,18842114000
BAH,Booz Allen Hamilton Holding Corp,NYSE,Business Services,14068845000
TRST,Trustco Bank Corp NY,NASDAQ,Finance,739980000
OABI,Omniab Inc,NASDAQ,Medical,406466000
ASLE,Aersale Corp,NASDAQ,Aerospace,820634000
AEHR,Aehr Test Systems,NASDAQ,Computers and Technology,716795000
TRMD,Torm Plc Cl A,NASDAQ,Transportation,2281185000
BIIB,Biogen Inc,NASDAQ,Medical,43944792000
VERX,Vertex Inc Cl A,NASDAQ,Computers and Technology,2577687000
HSTM,Healthstream Inc,NASDAQ,Computers and Technology,776554000
AGYS,Agilysys Inc,NASDAQ,Computers and Technology,1664249000
TMDX,Transmedics Group Inc,NASDAQ,Medical,1975137000
BMI,Badger Meter,NYSE,Computers and Technology,3389935000
SUPN,Supernus Pharm,NASDAQ,Medical,1985010000
IBCP,Independent Bk Cp,NASDAQ,Finance,516935000
HUM,Humana Inc,NYSE,Medical,69617344000
GLBL,Cartesian Growth Corp Cl A,NASDAQ,Finance,430819000
KNSA,Kiniksa Pharmaceuticals Ltd,NASDAQ,Medical,1170223000
SWAV,Shockwave Medical Inc,NASDAQ,Medical,9165609000
FULT,Fulton Financial Cor,NASDAQ,Finance,3113714000
NUVL,Nuvalent Inc Cl A,NASDAQ,Medical,1855780000
SPXC,SPX Corp,NYSE,Business Services,3023010000
TXRH,Texas Roadhouse Inc,NASDAQ,Retail-Wholesale,6645998000
BBSI,Barrett Business S,NASDAQ,Business Services,684564000
IEX,Idex Corp,NYSE,Industrial Products,17911732000
GNW,Genworth Financial Inc,NYSE,Finance,2496721000
CEG,Constellation Energy Corp,NASDAQ,Oils-Energy,31432972000
CAAP,Corporacion America Airports Sa,NYSE,Transportation,1467375000
FIBK,First Interstate Ban,NASDAQ,Finance,4556021000
SILK,Silk Road Medical Inc,NASDAQ,Medical,2030050000
WING,Wingstop Inc,NASDAQ,Retail-Wholesale,4951065000
TPL,Texas Pacific Land Trust,NYSE,Oils-Energy,19974224000
TNK,Teekay Tankers Ltd,NYSE,Transportation,1138320000
PCAR,Paccar Inc,NASDAQ,Auto-Tires-Trucks,36832112000
PRVA,Privia Health Group Inc,NASDAQ,Medical,2735175000
STBA,S&T Bancorp Inc,NASDAQ,Finance,1459530000
QURE,Uniqure N.V.,NASDAQ,Medical,1238725000
DXLG,Destination XL Group,NASDAQ,Retail-Wholesale,411295000
WNC,Wabash National Corp,NYSE,Auto-Tires-Trucks,1201956000
ALVR,Allovir Inc,NASDAQ,Medical,699654000
PRK,Park National Corp,NYSE Arca,Finance,2461230000
AIV,Apartment Investment and Management,NYSE,Finance,1270676000
GBCI,Glacier Bancorp Inc,NYSE,Finance,6413409000
HUBB,Hubbell Inc B,NYSE,Industrial Products,13644546000
OSIS,O S I Systems Inc,NASDAQ,Computers and Technology,1491330000
CROX,Crocs Inc,NASDAQ,Consumer Staples,6236245000
FDS,Factset Research Systems Inc,NYSE,Business Services,17574222000
IBKR,Interactive Brokers,NASDAQ,Finance,33684488000
INBX,Inhibrx Inc,NASDAQ,Medical,1305659000
MGI,Moneygram Intl,NASDAQ,Finance,1054271000
ARDX,Ardelyx Inc,NASDAQ,Medical,322431000
JJSF,J J Snack Foods,NASDAQ,Consumer Staples,3152629000
AJRD,Aerojet Rocketdyne Holdings,NYSE,Aerospace,4187715000
POST,Post Holdings Inc,NYSE,Consumer Staples,5485921000
ALT,Altimmune Inc,NASDAQ,Medical,489132000
AKRO,Akero Therapeutics Inc,NASDAQ,Medical,2174480000
CHUY,Chuy's Holdings Inc,NASDAQ,Retail-Wholesale,570293000
KRUS,Kura Sushi USA Inc Cl A,NASDAQ,Retail-Wholesale,643131000
EURN,Euronav NV,NYSE,Transportation,3932760000
SWCH,Switch Inc,NYSE,Business Services,8393442000
ZYXI,Zynex Inc,NASDAQ,Medical,513814000
WEN,Wendys Company,NASDAQ,Retail-Wholesale,4805889000
NTNX,Nutanix Inc,NASDAQ,Computers and Technology,6415924000
TCBK,Trico Bancshares,NASDAQ,Finance,1816321000
TRDA,Entrada Therapeutics Inc,NASDAQ,Medical,470148000
ACM,Aecom Technology Corp,NYSE,Industrial Products,11785250000
MSI,Motorola Solutions,NYSE,Computers and Technology,45512660000
NSSC,Napco Sec Tech Inc,NASDAQ,Industrial Products,969280000
WGO,Winnebago Industries,NYSE,Construction,1786526000
FRHC,Freedom Holding Corp,NASDAQ,Finance,3756504000
ERAS,Erasca Inc,NASDAQ,Medical,923833000
SMTI,Sanara Medtech Inc,NASDAQ,Medical,311140000
ENIC,Enersis Chile S.A. ADR,NYSE,Utilities,3015662000
BJ,Bj's Wholesale Club Holdings Inc,NYSE,Consumer Discretionary,10162591000
SPFI,South Plains Financial Inc,NASDAQ,Finance,526320000
RMBS,Rambus Inc,NASDAQ,Computers and Technology,4125160000
NRIM,Northrim Bancorp Inc,NASDAQ,Finance,316132000
DCI,Donaldson Company,NYSE,Industrial Products,7460323000
RVNC,Revance Therapeutics,NASDAQ,Medical,1786169000
ANIK,Anika Therapeutics,NASDAQ,Medical,460799000
LYTS,L S I Industries,NASDAQ,Construction,329713000
UFPT,U F P Tech Inc,NASDAQ,Industrial Products,909810000
CRAI,Cra International,NASDAQ,Business Services,879448000
CFR,Cullen/Frost Bankers,NYSE,Finance,9327857000
SYBT,Stock Yards Bancorp,NASDAQ,Finance,2165676000
BSX,Boston Scientific Corp,NYSE,Medical,64840720000
NDAQ,Nasdaq Inc,NASDAQ,Finance,33633028000
BATRK,Liberty Braves CS C,NASDAQ,Finance,1354449000
ONB,Old National Bncp,NASDAQ,Finance,5597128000
RNST,Renasant Corp,NASDAQ,Finance,2281204000
FHN,First Horizon Corp,NYSE,Finance,13339580000
SANM,Sanmina Corp,NASDAQ,Computers and Technology,3795549000
DKS,Dick's Sporting Goods Inc,NYSE,Retail-Wholesale,9470616000
BHB,Bar Harbor Bankshares,NYSE Arca,Finance,456048000
FLO,Flowers Foods,NYSE,Consumer Staples,6344546000
NWBI,Northwest Bancshares,NASDAQ,Finance,1941646000
CASS,Cass Information Sys,NASDAQ,Computers and Technology,593980000
ETN,Eaton Corp,NYSE,Industrial Products,65004064000
FTI,Technipfmc Plc,NYSE,Oils-Energy,5535856000
EVI,Evi Industries Inc,NYSE Arca,Industrial Products,344925000
XPRO,Expro Group Hldgs N.V.,NYSE,Oils-Energy,1888849000
UI,Ubiquiti Networks,NYSE,Computers and Technology,18130512000
NINE,Nine Energy Service Inc,NYSE,Oils-Energy,348821000
CWT,California Water Service Group Holding,NYSE,Utilities,3559723000
BELFA,Bel Fuse Cl A,NASDAQ,Computers and Technology,416208000
VIGL,Vigil Neuroscience Inc,NASDAQ,Medical,444763000
PFGC,Performance Food Group Company,NYSE,Retail-Wholesale,9492940000
KYMR,Kymera Therapeutics Inc,NASDAQ,Medical,1589988000
BWB,Bridgewater Bancshares Inc,NASDAQ,Finance,531678000
VRAY,Viewray Inc,NASDAQ,Medical,874425000
LW,Lamb Weston Holdings Inc,NYSE,Consumer Staples,12498914000
BBCP,Concrete Pumping Holdings Inc,NASDAQ,Business Services,399596000
CW,Curtiss-Wright Corp,NYSE,Aerospace,6767106000
MCRB,Seres Therapeutics Inc,NASDAQ,Medical,809848000
XYL,Xylem Inc,NYSE,Industrial Products,20247942000
AFL,Aflac Inc,NYSE,Finance,44725284000
TRI,Thomson Reuters Corp,NYSE,Business Services,56610376000
CVBF,Cvb Financial Corp,NASDAQ,Finance,4009693000
CNXN,PC Connection Inc,NASDAQ,Retail-Wholesale,1460299000
ADUS,Addus Homecare Corp,NASDAQ,Medical,1776611000
APD,Air Products and Chemicals,NYSE,Basic Materials,68813960000
AER,Aercap Holdings N.V.,NYSE,Finance,15067254000
SJM,J.M. Smucker Company,NYSE,Consumer Staples,16410841000
RYAM,Rayonier Advanced Materials Inc,NYSE,Basic Materials,495136000
INST,Instructure Holdings Inc,NYSE,Business Services,3578251000
CYRX,Cryoport Inc,NASDAQ,Transportation,967750000
MYOV,Myovant Sciences Ltd,NYSE,Medical,2600129000
CHCO,City Holding Company,NASDAQ,Finance,1514123000
MPB,Mid Penn Bancorp Inc,NASDAQ,Finance,524139000
EDAP,Edap Tms Sa ADR,NASDAQ,Medical,409161000
RELL,Richardson Electrncs,NASDAQ,Computers and Technology,353641000
AZO,Autozone,NYSE,Retail-Wholesale,48952000000
ALLO,Allogene Therapeutics Inc,NASDAQ,Medical,1421911000
BLFS,Biolife Solutions,NASDAQ,Medical,905356000
CALX,Calix Inc,NYSE,Computers and Technology,4665944000
COMM,Commscope Holding Company,NASDAQ,Computers and Technology,1850148000
CCBG,Capital City Bank Gr,NASDAQ,Finance,597062000
ESE,Esco Technologies Inc,NYSE,Industrial Products,2430252000
ALG,Alamo Group,NYSE,Industrial Products,1800882000
ACET,Adicet Bio Inc,NASDAQ,Medical,779031000
HIMS,Hims & Hers Health Inc,NYSE,Medical,1285904000
CMI,Cummins Inc,NYSE,Auto-Tires-Trucks,35419088000
KVSA,Khosla Ventures Acquisition Co. Cl A,NASDAQ,Medical,353480000
NNI,Nelnet Inc,NYSE,Finance,3656918000
IDYA,Ideaya Biosciences Inc,NASDAQ,Medical,860260000
UTZ,Utz Brands Inc,NYSE,Consumer Staples,2671488000
ANET,Arista Networks Inc,NYSE,Computers and Technology,42566320000
CPB,Campbell Soup Company,NYSE,Consumer Staples,16088011000
MCD,McDonald's Corp,NYSE,Retail-Wholesale,1.99798E+11
CTAS,Cintas Corp,NASDAQ,Industrial Products,46891444000
OCFC,Oceanfirst Financial Corp,NASDAQ,Finance,1381557000
CTBI,Community TR Bancp,NASDAQ,Finance,858451000
FBNC,First Bancorp [Nc],NASDAQ,Finance,1736675000
THR,Thermon Group Holdings Inc,NYSE,Computers and Technology,680243000
QSR,Restaurant Brands International,NYSE,Retail-Wholesale,20351004000
EPAC,Actuant Corp,NYSE,Industrial Products,1424050000
RAPT,Rapt Therapeutics Inc,NASDAQ,Medical,528826000
ALXO,Alx Oncology Holdings Inc,NASDAQ,Medical,452381000
BLX,Banco Latinoamericano DE Comercio,NYSE,Finance,597449000
HLIT,Harmonic Inc,NASDAQ,Computers and Technology,1617388000
MGPI,MGP Ingredients Inc,NASDAQ,Consumer Staples,2750569000
NBIX,Neurocrine Bioscienc,NASDAQ,Medical,12214786000
TTC,Toro Company,NYSE,Consumer Discretionary,11565491000
ADP,Automatic Data Procs,NASDAQ,Business Services,1.09573E+11
APLS,Apellis Pharmaceuticals Inc,NASDAQ,Medical,5521060000
AXSM,Axsome Thera,NASDAQ,Medical,3139265000
BCOR,Blucora Inc,NASDAQ,Business Services,1199494000
BGCP,Bgc Partners Cl A,NASDAQ,Finance,1598045000
PRDO,Perdoceo Education Corp,NASDAQ,Consumer Discretionary,963889000
SJW,SJW Corp,NYSE,Utilities,2264526000
UNH,Unitedhealth Group Inc,NYSE,Medical,5.11799E+11
IBN,Icici Bank Ltd ADR,NYSE,Finance,82679568000
FFBC,First Finl Bncp [Oh],NASDAQ,Finance,2506621000
ALDX,Aldeyra Therapeu,NASDAQ,Medical,327936000
FICO,Fair Isaac and Company,NYSE,Computers and Technology,15478120000
FC,Franklin Covey Company,NYSE,Business Services,722088000
REYN,Reynolds Consumer Products Inc,NASDAQ,Consumer Discretionary,6707221000
XMTR,Xometry Inc Cl A,NASDAQ,Industrial Products,1883162000
PLXS,Plexus Cp,NASDAQ,Computers and Technology,3045048000
BR,Broadridge Financial Solutions Llc,NYSE,Business Services,17543536000
LNN,Lindsay Corp,NYSE,Industrial Products,1942624000
VIST,Vista Energy S.A.B. DE C.V. ADR,NYSE,Oils-Energy,1264722000
UBP,Urstadt Biddle Properties Inc,NYSE,Finance,770246000
PSO,Pearson Plc ADR,NYSE,Consumer Discretionary,8658309000
MET,Metlife Inc,NYSE,Finance,60179280000
KRTX,Karuna Therapeutics Inc,NASDAQ,Medical,8085956000
CAG,Conagra Brands Inc,NYSE,Consumer Staples,18202104000
ROST,Ross Stores Inc,NASDAQ,Retail-Wholesale,40838900000
CORT,Corcept Therapeutics,NASDAQ,Medical,2721392000
SGFY,Signify Health Inc Cl A,NYSE,Medical,6752861000
HFWA,Heritage Financial,NASDAQ,Finance,1154922000
WTW,Willis Towers Watson Public Ltd CO,NASDAQ,Finance,26643864000
PBFX,PBF Logistics LP,NYSE,Oils-Energy,1248566000
AXNX,Axonics Inc,NASDAQ,Medical,3391814000
ATGE,Adtalem Global Education Inc,NYSE,Consumer Discretionary,1888848000
SIGI,Selective Ins Group,NASDAQ,Finance,5793633000
LNG,Cheniere Energy,NYSE Arca,Oils-Energy,43604840000
RJF,Raymond James Financial,NYSE,Finance,25140982000
LOPE,Grand Canyon Educati,NASDAQ,Consumer Discretionary,3521790000
WVE,Wave Life Sci Ord Sh,NASDAQ,Medical,368460000
CSTL,Castle Biosciences Inc,NASDAQ,Medical,621643000
JANX,Janux Therapeutics Inc,NASDAQ,Medical,568283000
BANR,Banner Corp,NASDAQ,Finance,2414497000
TIPT,Tiptree Fncl Cl A,NASDAQ,Finance,502829000
LLY,Eli Lilly and Company,NYSE,Medical,3.52592E+11
MASS,908 Devices Inc,NASDAQ,Medical,338013000
AMBC,Ambac Financial Group,NYSE,Finance,731229000
STRO,Sutro Biopharma Inc,NASDAQ,Medical,430488000
CRVL,Corvel Cp,NASDAQ,Business Services,2641026000
RPM,RPM International Inc,NYSE,Construction,13377238000
PAYA,Paya Holdings Inc,NASDAQ,Computers and Technology,1230922000
HRL,Hormel Foods Corp,NYSE,Consumer Staples,25671304000
WMK,Weis Markets,NYSE,Retail-Wholesale,2345948000
WSBC,Wesbanco Inc,NASDAQ,Finance,2392860000
HRB,H&R Block,NYSE,Consumer Discretionary,6795506000
AVEO,Aveo Pharmaceuticals,NASDAQ,Medical,519707000
MYTE,Myt Netherlands Parent B.V. ADR,NYSE,Retail-Wholesale,827363000
VKTX,Viking Thera,NASDAQ,Medical,310586000
BATRA,Liberty Braves CS A,NASDAQ,Finance,1750855000
PTCT,Ptc Therapeutics,NASDAQ,Medical,2982385000
IMTX,Immatics NV,NASDAQ,Medical,803433000
LQDT,Liquidity Services,NASDAQ,Business Services,593764000
MOFG,Midwestone Fnl Gp,NASDAQ,Finance,545121000
TGTX,Tg Therapeuticscmn,NASDAQ,Medical,1281916000
OHI,Omega Healthcare Investors,NYSE,Finance,7091061000
BANF,Bancfirst Corp,NASDAQ,Finance,3350869000
PRI,Primerica Inc,NYSE,Finance,5498908000
ARTNA,Artesian Res Cp A,NASDAQ,Utilities,517829000
AGEN,Agenus Inc,NASDAQ,Medical,822992000
TK,Teekay Shipping Corp,NYSE,Transportation,452534000
GILD,Gilead Sciences Inc,NASDAQ,Medical,1.1016E+11
CPTK,Crown Proptech Acquisitions Cl A,NYSE,Business Services,346035000
RXRX,Recursion Pharmaceuticals Inc Cl A,NASDAQ,Medical,1781826000
COGT,Cogent Biosciences Inc,NASDAQ,Medical,576403000
LCII,Lci Industries,NYSE,Auto-Tires-Trucks,2514010000
VRSK,Verisk Analytics Inc,NASDAQ,Business Services,28730040000
HQY,Healthequity,NASDAQ,Medical,5366028000
CPA,Copa Holdings S.A.,NYSE,Transportation,3674588000
HON,Honeywell International Inc,NASDAQ,Conglomerates,1.47608E+11
MRSN,Mersana Therapeutics Inc,NASDAQ,Medical,664495000
FDMT,4D Molecular Therapeutics Inc,NASDAQ,Medical,782914000
K,Kellogg Company,NYSE,Consumer Staples,24896448000
CALM,Cal-Maine Foods IN,NASDAQ,Basic Materials,2851990000
ALLK,Allakos Inc,NASDAQ,Medical,702933000
WAFD,Washington Federal,NASDAQ,Finance,2303484000
FIX,Comfort Systems USA,NYSE,Construction,4533065000
AZPN,Aspen Technology,NASDAQ,Computers and Technology,14876470000
KNSL,Kinsale Capital Group Inc,NYSE,Finance,7065711000
KROS,Keros Therapeutics Inc,NASDAQ,Medical,1372743000
BFC,Bank First National Corp [Wisconsin],NASDAQ,Finance,858026000
ENTA,Enanta Pharmaceutica,NASDAQ,Medical,910701000
PGC,Peapack Gladstone FI,NASDAQ,Finance,738703000
LTC,Ltc Properties,NYSE,Finance,1591442000
CCB,Coastal Financial Corp,NASDAQ,Finance,647063000
WMT,Walmart Inc,NYSE,Retail-Wholesale,4.13704E+11
ICFI,Icf International,NASDAQ,Business Services,2042123000
ANAB,Anaptysbio Inc,NASDAQ,Medical,785576000
TNP,Tsakos Energy Navigation Ltd,NYSE,Transportation,340811000
AGM,Federal Agricultural Mortgage Corp,NYSE,Finance,1359305000
NTB,Bank of Butterfield Ltd,NYSE,Finance,1748665000
CARE,Carter Bankshares Inc,NASDAQ,Finance,446999000
TJX,TJX Companies,NYSE,Retail-Wholesale,92942288000
HBT,Hbt Financial Inc,NASDAQ,Finance,564996000
RBC,RBC Bearings Inc,NYSE,Industrial Products,6876159000
FREY,Freyr Battery,NYSE,Oils-Energy,1589406000
TSCO,Tractor Supply Company,NASDAQ,Retail-Wholesale,24998880000
TBBK,The Bancorp Inc,NASDAQ,Finance,1677780000
FNB,F.N.B. Corp,NYSE,Finance,4946055000
STEL,Stellar Bancorp Inc,NASDAQ,Finance,1768196000
PLMR,Palomar Holdings Inc,NASDAQ,Finance,1583118000
RYTM,Rhythm Pharmaceuticals Inc,NASDAQ,Medical,1508436000
VRTX,Vertex Pharmaceutic,NASDAQ,Medical,81217032000
MLI,Mueller Industries,NYSE,Basic Materials,3898158000
USPH,U.S. Physical Therapy,NYSE,Medical,1123502000
YSG,Yatsen Holding Ltd ADR,NYSE,Consumer Staples,525402000
IMGN,Immunogen Inc,NASDAQ,Medical,1145698000
BLNK,Blink Charging Company,NASDAQ,Computers and Technology,706006000
MUSA,Murphy USA Inc,NYSE,Oils-Energy,6683528000
AHCO,Adapthealth Corp Cl. A,NASDAQ,Medical,3005871000
NARI,Inari Medical Inc,NASDAQ,Medical,3947787000
GWW,W.W. Grainger,NYSE,Industrial Products,30472012000
PPBI,Pacific Premier Bncp,NASDAQ,Finance,3510694000
THS,Treehouse Foods,NYSE,Consumer Staples,2772134000
PEP,Pepsico Inc,NASDAQ,Consumer Staples,2.55579E+11
BHLB,Berkshire Hills Bancorp,NYSE,Finance,1403880000
BUSE,First Busey Corp,NASDAQ,Finance,1439898000
PERI,Perion Network Ltd,NASDAQ,Computers and Technology,1218468000
DGII,Digi Intl Inc,NASDAQ,Computers and Technology,1510063000
WSC,Willscot Corp,NASDAQ,Consumer Discretionary,10070586000
NOTE,Fiscalnote Hldgs Inc,NYSE,Business Services,739624000
CTRE,Caretrust REIT Inc,NYSE,Finance,1921174000
NFBK,Northfield Bncrp Del,NASDAQ,Finance,761947000
HSY,Hershey Foods Corp,NYSE,Consumer Staples,48229364000
WINA,Winmark Corp,NASDAQ,Retail-Wholesale,825070000
TT,Trane Technologies Plc,NYSE,Business Services,41091376000
MRK,Merck & Company,NYSE,Medical,2.79198E+11
ARGX,Argenx Se ADR,NASDAQ,Medical,22017292000
TGLS,Tecnoglass Inc,NYSE,Retail-Wholesale,1382720000
HOG,Harley-Davidson Inc,NYSE,Auto-Tires-Trucks,6889653000
SLAC,Social Leverage Acquisition Corp I Cl A,NYSE,Computers and Technology,433406000
MGNX,Macrogenics,NASDAQ,Medical,395284000
ASB,Associated Banc-Corp,NYSE,Finance,3698831000
MAIN,Main Street Capital Corp,NYSE,Finance,2954193000
PODD,Insulet Corp,NASDAQ,Medical,20790944000
GEF,Greif Bros. Corp,NYSE,Industrial Products,3347740000
PAYC,Paycom Software Inc,NYSE,Computers and Technology,20352782000
PBFS,Pioneer Bancorp Inc,NASDAQ,Finance,305265000
CHWY,Chewy Inc,NYSE,Consumer Staples,18231742000
HBCP,Home Bancorp Inc,NASDAQ,Finance,355943000
HCA,Hca Holdings Inc,NYSE,Medical,67914280000
EXLS,Exlservice Holdings,NASDAQ,Business Services,6189766000
BKE,Buckle Inc,NYSE,Retail-Wholesale,2201675000
POR,Portland General Electric Company,NYSE,Utilities,4394910000
OSH,Oak Street Health Inc,NYSE,Medical,5251845000
GSHD,Goosehead Insurance Inc Cl A,NASDAQ,Finance,1516743000
WOLF,Wolfspeed Inc,NYSE,Computers and Technology,11293445000
KOF,Coca Cola Femsa S.A.B. DE C.V. ADR,NYSE,Consumer Staples,1.14806E+11
GCBC,Greene County Bncp,NASDAQ,Finance,649317000
PSN,Parsons Corp,NYSE,Business Services,5123398000
AES,The Aes Corp,NYSE,Utilities,19317116000
SRCE,1st Source Corp,NASDAQ,Finance,1407914000
RRX,Regal Rexnord Corp,NYSE,Industrial Products,8673058000
ANGO,Angiodynamics Inc,NASDAQ,Medical,506449000
IMXI,International Money Express Inc,NASDAQ,Business Services,804987000
CBOE,CBOE Global Markets Inc,NYSE Arca,Finance,13455440000
ALNY,Alnylam Pharmaceuticals,NASDAQ,Medical,27138744000
AAON,Aaon Inc,NASDAQ,Construction,4216632000
ATRC,Atricure Inc,NASDAQ,Medical,2118904000
UHAL,Amerco Inc,NASDAQ,Transportation,12411738000
KEYS,Keysight Technologies Inc,NYSE,Computers and Technology,32342410000
TGS,Transportadora DE Gas Sa Ord B ADR,NYSE,Oils-Energy,1488959000
GERN,Geron Corp,NASDAQ,Medical,884465000
SHLS,Shoals Technologies Group Cl A,NASDAQ,Oils-Energy,4843842000
CBSH,Commerce Bancshares,NASDAQ,Finance,8941926000
SLP,Simulations Plus Inc,NASDAQ,Computers and Technology,823896000
GEO,Geo Group Inc,NYSE,Finance,1467453000
NRIX,Nurix Therapeutics Inc,NASDAQ,Medical,584164000
ACHC,Acadia Healthcr Company,NASDAQ,Medical,8102411000
TIXT,Telus International [Cda] Inc Subordinate Voting,NYSE,Business Services,5598465000
DE,Deere & Company,NYSE,Industrial Products,1.33103E+11
ARKO,Arko Corp,NASDAQ,Consumer Staples,1132307000
IPAR,Inter Parfums Inc,NASDAQ,Consumer Staples,3037463000
PGR,Progressive Corp,NYSE,Finance,77317000000
PAM,Pampa Energia S.A. ADR,NYSE,Utilities,1585663000
LRN,Stride Inc,NYSE,Consumer Discretionary,1523763000
CPRT,Copart Inc,NASDAQ,Business Services,31691744000
SNEX,Stonex Group Inc,NASDAQ,Finance,2055984000
BMRN,Biomarin Pharmaceuticals,NASDAQ,Medical,18729164000
CMPS,Compass Pathways Plc ADR,NASDAQ,Medical,438543000
LULU,Lululemon Athletica,NASDAQ,Consumer Staples,48491800000
CTKB,Cytek Biosciences Inc,NASDAQ,Medical,1738255000
OPY,Oppenheimer Holdings,NYSE,Finance,456843000
PTNR,Partner Comm Ltd ADR,NASDAQ,Computers and Technology,1426928000
CSGP,Costar Group Inc,NASDAQ,Computers and Technology,32958158000
SMBK,Smartfinancial Inc,NASDAQ,Finance,506302000
